headline,category,online_views
President signs new education bill,politics,4200
Local football team wins championship,sports,8900
New restaurant opens in Windhoek,lifestyle,3100
Tech startup raises N$2 million,business,5600
Heavy rains cause flooding in northern Namibia,weather,7800
Parliament debates new land reform policy,politics,3900
Namibia national team qualifies for AFCON,sports,9200
New shopping mall opens in Katutura,lifestyle,2800
Mining company announces 500 new jobs,business,4700
Drought declared in Kunene region,weather,6500
Government launches free wifi in schools,politics,5100
Windhoek FC signs new striker,sports,7600
Local chef wins African cooking award,lifestyle,2300
Namibia stock exchange hits record high,business,4100
Flash floods destroy homes in Oshakati,weather,8200
